AC,Agent Commercial
ATV,Agent Technique de Vente
TCE,Technicien Comptable d'Entreprises 
TSB,Technicien en Secrétariat et Bureautique
TSC,Technicien Spécialisé en Commerce
TSD,Techniques de Secrétariat de Direction
TSFC,Technicien Spécialisé en Finance et Comptabilité
TSGE,Technicien Spécialisé en Gestion des Entreprises
TCVM,Conserve Métallique
TDB,Technicien Dessinateur de Bâtiment
TSCTTP,Technicien Spécialisé Conducteur de Travaux : Travaux Publics
TSGO,Technicien Spécialisé Gros Oeuvres
TCM,Technicien en Construction Métallique
TSBECM,Technicien Spécialisé Bureau d'Etude en Construction Métallique
TFI,Technicien en Froid Industriel
TFM,Technicien en Fabrication Mécanique
TSMFM,Technicien Spécialisé de Méthodes en Fabrication Mécanique
EMI,Technicien en Electricité de Maintenance Industrielle
ESA,Electromécanique des Systèmes Automatisées
TDI,Techniques de Développement Informatique
TMSIR,Technicien en Maintenance et Support Informatique et Réseaux
TRI,Techniques des Réseaux Informatiques
TREMOA,Technicien en Réparation des Engins à Moteur (Option: Automobile)
TSDEE,Technicien spécialisé en Diagnostic et Electronique Embarquée
Groupe libre,Groupe libre